1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle
1.5439381437482819e+18,15.1790008545,-24.7207489014,4.02658605576,1.543938504908457e+18,-50.4348449707,3.52831268311,10.98898983,1544027877298156800,-57.4600067139,103.802398682,11.8428001404,1.54402865391694e+18,1.06184387207,25.0704727173,-8.57288551331
1.543938143892934e+18,22.5178833008,-32.0308074951,3.34735655785,1.5439385050696448e+18,-48.1291351318,2.9806060791,9.01991176605,1544027877440251280,-74.863067627,120.008110046,13.6016902924,1.5440286540200466e+18,-3.8132019043,23.3042755127,-13.3242950439
1.5439381440521994e+18,15.1620178223,-30.8925170898,3.49864411354,1.5439385050699205e+18,-49.2243499756,1.9369430542,9.18513774872,1544027877540665594,-22.5016937256,58.6187171936,-16.9468021393,1.5440286540222682e+18,-3.11268615723,22.90234375,-8.86417770386
1.543938144166616e+18,12.6740264893,-30.9901428223,3.30764889717,1.5439385051605827e+18,-45.466506958,-1.48511505127,7.38527917862,1544027877672082736,-26.12940979,59.5029029846,-19.3809242249,1.5440286541008845e+18,0.135940551758,22.552947998,-5.80566453934
1.5439381442773548e+18,20.5082397461,-34.9468383789,3.71897125244,1.5439385051612803e+18,-46.3678131104,-2.01023101807,8.16711902618,1544027877861652808,-29.7571411133,60.3870887756,-21.8150482178,1.5440286541816492e+18,-6.86763000488,21.147277832,-3.46056866646
1.5439381443740987e+18,12.5594482422,-33.5430755615,3.64010667801,1.5439385052732887e+18,-49.4850158691,-3.42002105713,3.15678405762,1544027878042156777,-33.3848571777,61.2712745667,-24.2491703033,1.5440286542767885e+18,-6.97299194336,24.6277694702,-0.986582398415
1.5439381443747023e+18,11.819152832,-33.2142181396,2.44706201553,1.5439385054158958e+18,-50.7831115723,-4.74917602539,2.51728701591,1544027878180289235,-37.012588501,62.1554603577,-26.6832942963,1.5440286542777272e+18,-5.37672424316,26.082901001,0.430794894695
1.5439381444630543e+18,11.6925201416,-33.2199554443,1.45192348957,1.5439385055521203e+18,-55.0735778809,-0.178184509277,5.68279504776,1544027878347167277,-40.6403198242,63.0396461487,-29.1174163818,1.5440286543474936e+18,-8.58673095703,26.1563339233,1.58077013493
1.5439381444635436e+18,13.6070098877,-33.3679199219,2.44554376602,1.543938505644168e+18,-54.1047363281,-4.18087768555,4.04624462128,1544027878547217850,-44.2680358887,63.9238319397,-31.5515384674,1.5440286543483932e+18,-10.7933502197,26.0646209717,2.28487467766
1.5439381445381463e+18,17.0554046631,-35.6941070557,3.15418195724,1.5439385056451133e+18,-53.951965332,-7.44554901123,1.68295156956,1544027878818737440,-12.9902191162,46.821182251,-22.0682220459,1.54402865442574e+18,-12.4553375244,26.3111877441,5.60713911057
1.5439381446296253e+18,13.5270385742,-34.7972259521,0.644389569759,1.5439385061982566e+18,-48.4115600586,-16.9316101074,-0.509594261646,1544027878946847238,-10.6221923828,44.6157531738,-23.1122360229,1.5440286544267075e+18,-14.2586212158,26.383682251,4.65110015869
1.5439381447567785e+18,16.7631530762,-36.8022918701,-0.507850408554,1.5439385063001042e+18,-50.4889373779,-18.7619628906,-1.87903404236,1544027879101712380,-8.25416564941,42.4103317261,-24.15625,1.5440286544272594e+18,-17.967956543,25.0700302124,4.58761787415
1.5439381448622003e+18,18.0203399658,-37.8963775635,-1.15622329712,1.5439385063021023e+18,-53.8442993164,-18.0144348145,-3.13491106033,1544027879185499303,-5.88613891602,40.2049026489,-25.2002639771,1.5440286544958853e+18,-13.4162597656,23.5420532227,4.44298219681
